Timestamp,Well,Oil Production
2019-01-01,Well 1,202
2019-01-02,Well 1,535
2019-01-03,Well 1,960
2019-01-04,Well 1,370
2019-01-05,Well 1,206
2019-01-06,Well 1,171
2019-01-07,Well 1,800
2019-01-08,Well 1,120
2019-01-09,Well 1,714
2019-01-10,Well 1,221
2019-01-11,Well 1,566
2019-01-12,Well 1,314
2019-01-13,Well 1,430
2019-01-14,Well 1,558
2019-01-15,Well 1,187
2019-01-16,Well 1,472
2019-01-17,Well 1,199
2019-01-18,Well 1,971
2019-01-19,Well 1,763
2019-01-20,Well 1,230
2019-01-21,Well 1,761
2019-01-22,Well 1,408
2019-01-23,Well 1,869
2019-01-24,Well 1,443
2019-01-25,Well 1,591
2019-01-26,Well 1,513
2019-01-27,Well 1,905
2019-01-28,Well 1,485
2019-01-29,Well 1,291
2019-01-30,Well 1,376
2019-01-31,Well 1,260
2019-02-01,Well 1,559
2019-02-02,Well 1,413
2019-02-03,Well 1,121
2019-02-04,Well 1,352
2019-02-05,Well 1,847
2019-02-06,Well 1,956
2019-02-07,Well 1,660
2019-02-08,Well 1,574
2019-02-09,Well 1,158
2019-02-10,Well 1,610
2019-02-11,Well 1,781
2019-02-12,Well 1,575
2019-02-13,Well 1,799
2019-02-14,Well 1,882
2019-02-15,Well 1,289
2019-02-16,Well 1,786
2019-02-17,Well 1,662
2019-02-18,Well 1,975
2019-02-19,Well 1,666
2019-02-20,Well 1,343
2019-02-21,Well 1,931
2019-02-22,Well 1,604
2019-02-23,Well 1,230
2019-02-24,Well 1,584
2019-02-25,Well 1,918
2019-02-26,Well 1,746
2019-02-27,Well 1,120
2019-02-28,Well 1,940
2019-03-01,Well 1,266
2019-03-02,Well 1,373
2019-03-03,Well 1,487
2019-03-04,Well 1,700
2019-03-05,Well 1,415
2019-03-06,Well 1,113
2019-03-07,Well 1,341
2019-03-08,Well 1,876
2019-03-09,Well 1,445
2019-03-10,Well 1,664
2019-03-11,Well 1,997
2019-03-12,Well 1,439
2019-03-13,Well 1,191
2019-03-14,Well 1,466
2019-03-15,Well 1,554
2019-03-16,Well 1,527
2019-03-17,Well 1,608
2019-03-18,Well 1,875
2019-03-19,Well 1,134
2019-03-20,Well 1,305
2019-03-21,Well 1,180
2019-03-22,Well 1,661
2019-03-23,Well 1,971
2019-03-24,Well 1,487
2019-03-25,Well 1,101
2019-03-26,Well 1,489
2019-03-27,Well 1,665
2019-03-28,Well 1,205
2019-03-29,Well 1,871
2019-03-30,Well 1,921
2019-03-31,Well 1,576
2019-04-01,Well 1,802
2019-04-02,Well 1,501
2019-04-03,Well 1,829
2019-04-04,Well 1,655
2019-04-05,Well 1,261
2019-04-06,Well 1,301
2019-04-07,Well 1,369
2019-04-08,Well 1,962
2019-04-09,Well 1,915
2019-04-10,Well 1,370
2019-04-11,Well 1,555
2019-04-12,Well 1,561
2019-04-13,Well 1,826
2019-04-14,Well 1,351
2019-04-15,Well 1,801
2019-04-16,Well 1,395
2019-04-17,Well 1,824
2019-04-18,Well 1,819
2019-04-19,Well 1,848
2019-04-20,Well 1,437
2019-04-21,Well 1,978
2019-04-22,Well 1,152
2019-04-23,Well 1,891
2019-04-24,Well 1,316
2019-04-25,Well 1,863
2019-04-26,Well 1,287
2019-04-27,Well 1,479
2019-04-28,Well 1,592
2019-04-29,Well 1,140
2019-04-30,Well 1,256
2019-05-01,Well 1,114
2019-05-02,Well 1,912
2019-05-03,Well 1,164
2019-05-04,Well 1,956
2019-05-05,Well 1,938
2019-05-06,Well 1,620
2019-05-07,Well 1,443
2019-05-08,Well 1,228
2019-05-09,Well 1,747
2019-05-10,Well 1,571
2019-05-11,Well 1,162
2019-05-12,Well 1,238
2019-05-13,Well 1,598
2019-05-14,Well 1,692
2019-05-15,Well 1,491
2019-05-16,Well 1,774
2019-05-17,Well 1,518
2019-05-18,Well 1,388
2019-05-19,Well 1,478
2019-05-20,Well 1,872
2019-05-21,Well 1,589
2019-05-22,Well 1,330
2019-05-23,Well 1,140
2019-05-24,Well 1,127
2019-05-25,Well 1,234
2019-05-26,Well 1,300
2019-05-27,Well 1,939
2019-05-28,Well 1,879
2019-05-29,Well 1,132
2019-05-30,Well 1,147
2019-05-31,Well 1,602
2019-06-01,Well 1,506
2019-06-02,Well 1,673
2019-06-03,Well 1,827
2019-06-04,Well 1,904
2019-06-05,Well 1,198
2019-06-06,Well 1,783
2019-06-07,Well 1,971
2019-06-08,Well 1,825
2019-06-09,Well 1,646
2019-06-10,Well 1,838
2019-06-11,Well 1,712
2019-06-12,Well 1,561
2019-06-13,Well 1,742
2019-06-14,Well 1,868
2019-06-15,Well 1,104
2019-06-16,Well 1,317
2019-06-17,Well 1,602
2019-06-18,Well 1,866
2019-06-19,Well 1,497
2019-06-20,Well 1,970
2019-06-21,Well 1,894
2019-06-22,Well 1,492
2019-06-23,Well 1,306
2019-06-24,Well 1,114
2019-06-25,Well 1,957
2019-06-26,Well 1,653
2019-06-27,Well 1,991
2019-06-28,Well 1,560
2019-06-29,Well 1,790
2019-06-30,Well 1,674
2019-07-01,Well 1,963
2019-07-02,Well 1,842
2019-07-03,Well 1,340
2019-07-04,Well 1,663
2019-07-05,Well 1,195
2019-07-06,Well 1,999
2019-07-07,Well 1,833
2019-07-08,Well 1,584
2019-07-09,Well 1,506
2019-07-10,Well 1,330
2019-07-11,Well 1,848
2019-07-12,Well 1,754
2019-07-13,Well 1,270
2019-07-14,Well 1,640
2019-07-15,Well 1,135
2019-07-16,Well 1,624
2019-07-17,Well 1,259
2019-07-18,Well 1,938
2019-07-19,Well 1,798
2019-07-20,Well 1,342
2019-07-21,Well 1,185
2019-07-22,Well 1,895
2019-07-23,Well 1,677
2019-07-24,Well 1,781
2019-07-25,Well 1,656
2019-07-26,Well 1,673
2019-07-27,Well 1,745
